ENTIDAD,NOM_ENT ,DISTRITO,INDIGENA,COMPLEJIDA,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_0A17,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_12A14,P_12A14_F,P_12A14_M,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M
1,Aguascalientes,1,NO,Disperso 1,482911,245249,237662,27689,13802,13887,174555,30316,14873,15443,59391,29251,30140,28662,14145,14517,12884,6254,6630,2077,937,1140,2914,1236,1678,718,300,418
1,Aguascalientes,2,NO,Concentrado 1,486085,249098,236987,24904,12319,12585,160970,27159,13234,13925,54166,26948,27218,27278,13431,13847,11176,5442,5734,1572,727,845,2281,966,1315,979,394,585
1,Aguascalientes,3,NO,Concentrado 2,456611,234577,222034,19271,9483,9788,127810,21358,10572,10786,43126,21090,22036,21875,10630,11245,7435,3675,3760,1292,628,664,1617,699,918,842,349,493
2,Baja California,1,NO,Concentrado 2,485628,240417,245211,19179,9563,9616,139707,22881,11283,11598,48958,24061,24897,24503,12118,12385,9433,4626,4807,2072,1000,1072,1428,629,799,3775,1190,2585
2,Baja California,2,NO,Concentrado 1,396169,197545,198624,11110,5479,5631,92281,14015,6974,7041,31584,15492,16092,17495,8590,8905,5436,2648,2788,1537,706,831,1022,477,545,1374,636,738
2,Baja California,3,NO,Disperso 2,457179,228534,228645,21273,10485,10788,133316,22978,11543,11435,44548,21910,22638,22392,11039,11353,10518,5292,5226,1997,976,1021,1744,792,952,26867,13011,13856
2,Baja California,4,NO,Concentrado 2,582501,288374,294127,27119,13444,13675,187298,31316,15324,15992,64323,31704,32619,32673,16173,16500,18449,9061,9388,4340,2039,2301,2856,1268,1588,5087,2361,2726
2,Baja California,5,NO,Altamente Concentrado 2,418815,207441,211374,13556,6566,6990,97648,15696,7688,8008,33421,16311,17110,17367,8384,8983,7687,3741,3946,2295,1094,1201,1414,670,744,2315,1024,1291
2,Baja California,6,NO,Concentrado 1,424896,211303,213593,14724,7353,7371,108641,17783,8746,9037,37697,18423,19274,19399,9421,9978,9102,4452,4650,2807,1323,1484,1625,768,857,2269,1063,1206
2,Baja California,7,NO,Disperso 1,506278,247548,258730,21419,10586,10833,153914,25631,12721,12910,53316,26111,27205,27558,13535,14023,11581,5670,5911,2687,1300,1387,1979,821,1158,4778,2193,2585
2,Baja California,8,NO,Concentrado 1,497554,247269,250285,21577,10534,11043,149088,24986,12345,12641,52091,25492,26599,25735,12580,13155,14227,7024,7203,3844,1810,2034,2378,1048,1330,2665,1262,1403
3,Baja California Sur,1,NO,Muy Disperso 2,398167,198535,199632,15793,7829,7964,111130,18343,9118,9225,38136,18789,19347,19145,9380,9765,5870,2839,3031,1166,579,587,944,435,509,5620,2400,3220
3,Baja California Sur,2,NO,Disperso 2,400280,194033,206247,20170,9992,10178,125499,21527,10589,10938,43340,21235,22105,20599,10225,10374,8866,4277,4589,1749,828,921,1271,569,702,7961,3531,4430
4,Campeche,1,NO,Disperso 1,470590,240895,229695,22298,11038,11260,141440,24734,12334,12400,47998,23427,24571,23499,11507,11992,5727,2830,2897,2252,1064,1188,2015,985,1030,75074,37073,38001
4,Campeche,2,NO,Muy Disperso 1,457773,230529,227244,23243,11468,11775,145440,25370,12516,12854,50091,24660,25431,23885,11680,12205,9301,4492,4809,2510,1203,1307,2533,1224,1309,16727,8008,8719
5,Coahuila de Zaragoza,1,NO,Disperso 1,444379,221345,223034,23232,11512,11720,144031,25879,12747,13132,48238,23860,24378,23409,11597,11812,12087,5949,6138,2056,972,1084,2020,938,1082,756,314,442
5,Coahuila de Zaragoza,2,NO,Muy Disperso 2,447641,222762,224879,24159,12050,12109,147244,26909,13267,13642,49652,24402,25250,23773,11885,11888,11204,5455,5749,1955,894,1061,1926,885,1041,789,312,477
5,Coahuila de Zaragoza,3,NO,Concentración Media,429221,215582,213639,21704,10628,11076,131898,24227,12044,12183,43963,21497,22466,21183,10487,10696,9692,4774,4918,1894,916,978,1554,757,797,385,166,219
5,Coahuila de Zaragoza,4,NO,Concentrado 2,492819,248415,244404,24667,12260,12407,148601,27589,13479,14110,48656,23929,24727,23623,11538,12085,10079,4867,5212,1797,879,918,1426,650,776,1050,469,581
5,Coahuila de Zaragoza,5,NO,Altamente Concentrado 2,353269,182554,170715,13168,6419,6749,88124,14665,7214,7451,29496,14334,15162,15079,7371,7708,4949,2446,2503,1408,695,713,1136,515,621,371,150,221
5,Coahuila de Zaragoza,6,NO,Concentración Media,506358,256328,250030,27939,13802,14137,171233,30166,14852,15314,57075,28091,28984,28024,13909,14115,11610,5726,5884,1824,822,1002,2182,990,1192,920,291,629
5,Coahuila de Zaragoza,7,NO,Disperso 1,473084,236116,236968,25499,12424,13075,151710,28256,13866,14390,50032,24476,25556,24018,11810,12208,10924,5239,5685,1601,749,852,1420,661,759,1256,500,756
6,Colima,1,NO,Concentrado 2,380580,194962,185618,14068,6860,7208,102646,16589,8216,8373,35624,17556,18068,17870,8684,9186,5041,2512,2529,1073,514,559,1105,475,630,2445,1048,1397
6,Colima,2,NO,Concentración Media,350811,175807,175004,15546,7623,7923,106756,17880,8809,9071,37320,18267,19053,18266,9018,9248,6846,3407,3439,2215,1025,1190,2115,940,1175,2765,1274,1491
7,Chiapas,1,SI,Muy Disperso 1,410229,207521,202708,25256,12575,12681,158497,27044,13389,13655,56103,27959,28144,25758,12725,13033,8271,4018,4253,3282,1610,1672,3868,1984,1884,241894,122133,119761
7,Chiapas,10,NO,Muy Disperso 1,410609,207354,203255,23108,11337,11771,145035,25154,12347,12807,50622,25004,25618,23733,11774,11959,9069,4384,4685,3398,1621,1777,3318,1630,1688,22059,10842,11217
7,Chiapas,11,SI,Disperso 2,387847,197555,190292,26048,12846,13202,164494,28844,14326,14518,58182,28686,29496,26577,13372,13205,11223,5514,5709,3902,1959,1943,7075,3941,3134,195354,99298,96056
7,Chiapas,12,NO,Concentración Media,435403,225265,210138,24305,12106,12199,144374,24812,12173,12639,48191,23582,24609,23699,11565,12134,10859,5290,5569,3987,1899,2088,2881,1349,1532,3254,1396,1858
7,Chiapas,13,NO,Muy Disperso 1,424185,214244,209941,26529,12953,13576,165150,27802,13867,13935,57435,28279,29156,27854,13745,14109,11963,5946,6017,3570,1714,1856,4039,1942,2097,4741,2011,2730
7,Chiapas,2,SI,Disperso 2,445224,226749,218475,35395,17941,17454,204878,36985,18415,18570,71854,35885,35969,31848,15852,15996,14297,7139,7158,6266,3151,3115,9732,5218,4514,280235,142391,137844
7,Chiapas,3,SI,Muy Disperso 1,426589,216247,210342,29489,14655,14834,196597,34986,17558,17428,70734,35357,35377,32546,16147,16399,15566,7768,7798,6843,3523,3320,6890,3779,3111,303785,153958,149827
7,Chiapas,4,NO,Disperso 2,408235,206723,201512,24602,12227,12375,154580,27083,13354,13729,53158,26233,26925,25551,12514,13037,8399,4062,4337,3001,1426,1575,3931,1905,2026,59285,29721,29564
7,Chiapas,5,SI,Concentración Media,454255,239585,214670,29889,15003,14886,186561,32564,16327,16237,65890,33631,32259,29938,14962,14976,14104,7105,6999,4595,2446,2149,8739,4941,3798,277321,147059,130262
7,Chiapas,6,NO,Disperso 1,470504,240393,230111,24220,11983,12237,157173,27338,13473,13865,54530,26751,27779,25752,12568,13184,9814,4846,4968,3311,1575,1736,3281,1604,1677,26549,13334,13215
7,Chiapas,7,NO,Muy Disperso 1,390090,197706,192384,20856,10326,10530,134113,22232,10967,11265,47144,22979,24165,22391,10981,11410,7045,3412,3633,2790,1347,1443,2698,1244,1454,2077,719,1358
7,Chiapas,8,NO,Disperso 2,466942,240529,226413,25415,12665,12750,164138,27605,13675,13930,58004,28726,29278,27134,13273,13861,9127,4472,4655,3483,1705,1778,4789,2389,2400,33484,16881,16603
7,Chiapas,9,NO,Altamente Concentrado 2,413716,218010,195706,18943,9275,9668,117836,20957,10314,10643,38752,19122,19630,19235,9544,9691,6582,3190,3392,1837,880,957,1373,612,761,9610,5305,4305
8,Chihuahua,1,NO,Altamente Concentrado 2,489421,244208,245213,22146,10878,11268,163720,26998,13310,13688,55653,27382,28271,29993,14876,15117,15780,7727,8053,2414,1170,1244,2146,955,1191,3090,1398,1692
8,Chihuahua,2,NO,Muy Disperso 1,426640,212766,213874,20635,10192,10443,143101,24115,11906,12209,48379,23729,24650,25419,12557,12862,14947,7292,7655,3120,1483,1637,3320,1539,1781,5251,2489,2762
8,Chihuahua,3,NO,Concentrado 1,371187,183180,188007,15425,7427,7998,117059,19077,9466,9611,40008,19497,20511,21670,10673,10997,11687,5823,5864,2053,965,1088,2183,957,1226,1741,854,887
8,Chihuahua,4,NO,Altamente Concentrado 2,400838,203286,197552,12431,6024,6407,98620,15913,7760,8153,33882,16713,17169,18191,8880,9311,7154,3471,3683,1392,661,731,1115,511,604,1463,660,803
8,Chihuahua,5,NO,Muy Disperso 1,421054,211385,209669,19782,9628,10154,128243,22037,10747,11290,42909,21170,21739,22131,10813,11318,9532,4579,4953,2189,1022,1167,2243,979,1264,3955,1932,2023
8,Chihuahua,6,NO,Concentrado 2,476403,245289,231114,17716,8744,8972,122511,20469,9991,10478,41239,20181,21058,21264,10504,10760,5808,2794,3014,1420,652,768,1024,491,533,4153,2138,2015
8,Chihuahua,7,NO,Muy Disperso 2,362596,183660,178936,17589,8621,8968,116034,19798,9832,9966,39289,19332,19957,20223,10091,10132,9340,4625,4715,2195,1030,1165,2717,1293,1424,13507,6981,6526
8,Chihuahua,8,NO,Concentrado 1,461356,235187,226169,19717,9739,9978,131763,23030,11393,11637,44378,21851,22527,22099,10843,11256,7839,3802,4037,1752,811,941,1484,604,880,5285,2788,2497
8,Chihuahua,9,NO,Muy Disperso 2,332374,169086,163288,18509,9213,9296,116486,20269,10140,10129,40170,20020,20150,19770,9793,9977,9730,4812,4918,4067,1989,2078,3445,1588,1857,72053,37239,34814
